Key,Notes (not shown in the app),English,Japanese,Spanish,German,Dutch,Chinese (Simplified),French,Korean
overline,Left rail eyebrow,Our Global Network,グローバルネットワーク,Nuestra red global,Unser globales Netzwerk,Ons wereldwijde netwerk,我们的全球网络,Notre réseau mondial,글로벌 네트워크
heading,Left rail headline,Specialized Expertise and Innovation,専門性と革新,Experiencia especializada e innovación,Spezialisierte Expertise und Innovation,Gespecialiseerde expertise en innovatie,专业专长与创新,Expertise spécialisée et innovation,전문 역량과 혁신
body,Left rail intro paragraph,"Removing barriers, expanding what's possible, and turning novel and complex science into manufacturable reality, sustainably and at scale.",障壁を取り除き、可能性を広げ、新規かつ複雑なサイエンスを、持続可能な形で大規模に製造可能な現実へと変えていきます。,"Eliminamos barreras, ampliamos lo posible y convertimos la ciencia novedosa y compleja en una realidad fabricable, de forma sostenible y a escala.","Wir beseitigen Hürden, erweitern das Mögliche und machen neuartige, komplexe Wissenschaft nachhaltig und im großen Maßstab herstellbar.","Wij nemen barrières weg, vergroten wat mogelijk is en maken nieuwe, complexe wetenschap duurzaam en op schaal produceerbaar.",消除障碍，拓展可能，并以可持续的方式大规模地将新颖而复杂的科学转化为可制造的现实。,"Lever les obstacles, élargir le possible et transformer une science nouvelle et complexe en réalité industrialisable, de manière durable et à grande échelle.","장벽을 제거하고 가능성을 확장하며, 새롭고 복잡한 과학을 지속가능한 방식으로 대규모 생산 가능한 현실로 전환합니다."
fallbackData,Warning chip when the CSV fails to load,Fallback data,代替データ,Datos de reserva,Ersatzdaten,Terugvaldata,备用数据,Données de secours,대체 데이터
statSites,Footer stat label,Sites,拠点,Centros,Standorte,Vestigingen,基地,Sites,사업장
statCountries,Footer stat label,Countries,国,Países,Länder,Landen,国家,Pays,국가
statEmployees,Footer stat label,Employees,従業員,Empleados,Mitarbeitende,Medewerkers,员工,Collaborateurs,임직원
tagline,Brand line above the globe,Unlock Innovation. Unleash Potential.,革新を解き放ち、可能性を引き出す。,Libere la innovación. Despliegue el potencial.,Innovation entfesseln. Potenzial freisetzen.,Ontsluit innovatie. Ontketen potentieel.,释放创新，激发潜能。,Libérez l’innovation. Révélez le potentiel.,혁신을 열고 잠재력을 펼칩니다.
resetGlobe,Globe control button,Reset Globe,地球儀をリセット,Restablecer globo,Globus zurücksetzen,Globe herstellen,重置地球,Réinitialiser le globe,지구본 초기화
dragHint,Globe interaction hint,Drag to spin · Scroll to zoom,ドラッグで回転 · スクロールでズーム,Arrastre para girar · Desplace para ampliar,Ziehen zum Drehen · Scrollen zum Zoomen,Sleep om te draaien · Scroll om te zoomen,拖动旋转 · 滚动缩放,Faites glisser pour tourner · Défilez pour zoomer,드래그하여 회전 · 스크롤하여 확대
zoomIn,Button aria-label,Zoom in,ズームイン,Ampliar,Vergrößern,Inzoomen,放大,Zoom avant,확대
zoomOut,Button aria-label,Zoom out,ズームアウト,Reducir,Verkleinern,Uitzoomen,缩小,Zoom arrière,축소
close,Button aria-label,Close,閉じる,Cerrar,Schließen,Sluiten,关闭,Fermer,닫기
language,Language selector label,Language,言語,Idioma,Sprache,Taal,语言,Langue,언어
regionAll,Region filter,All,すべて,Todas,Alle,Alle,全部,Toutes,전체
regionEurope,Region filter,Europe,ヨーロッパ,Europa,Europa,Europa,欧洲,Europe,유럽
regionJapan,Region filter,Japan,日本,Japón,Japan,Japan,日本,Japon,일본
regionIndia,Region filter,India,インド,India,Indien,India,印度,Inde,인도
